#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
46.052	447	46.078	530
46.103	447	46.129	529
46.154	448	46.179	523
46.205	447	46.230	518
46.255	448	46.281	510
46.306	448	46.332	500
46.356	447	46.382	489
46.407	449	46.433	478
46.458	448	46.483	468
46.509	448	46.534	457
46.559	448	46.585	448
46.610	448	46.636	440
46.660	448	46.686	435
46.712	447	46.737	433
46.762	447	46.787	431
46.813	448	46.839	434
46.863	448	46.889	440
46.914	448	46.940	444
46.965	448	46.990	453
47.016	447	47.041	463
47.066	449	47.092	474
47.117	447	47.143	484
47.167	448	47.193	495
47.218	446	47.244	505
47.269	448	47.294	514
47.320	448	47.345	522
47.370	448	47.396	526
47.421	448	47.447	529
47.471	448	47.497	528
47.523	448	47.548	526
47.573	448	47.598	523
47.624	447	47.650	515
47.674	447	47.700	507
47.725	448	47.751	498
47.776	448	47.801	486
47.827	449	47.852	476
47.877	448	47.903	466
47.928	447	47.954	456
47.978	448	48.004	448
48.029	448	48.055	442
48.080	448	48.105	437
48.131	448	48.156	436
48.181	448	48.207	435
48.232	448	48.258	436
48.282	448	48.308	442
48.334	448	48.359	448
48.384	448	48.409	457
48.435	449	48.461	465
48.485	448	48.511	476
48.536	448	48.562	485
48.587	447	48.612	495
48.638	446	48.663	505
48.688	447	48.714	513
48.739	447	48.765	519
48.789	447	48.815	523
48.841	448	48.866	527
48.891	448	48.916	527
48.942	446	48.967	524
48.992	448	49.018	519
49.043	448	49.069	513
49.093	449	49.119	504
49.145	448	49.170	495
49.195	448	49.220	486
49.246	449	49.272	476
49.296	448	49.322	465
49.347	448	49.373	456
49.398	448	49.423	449
49.449	448	49.474	443
49.499	448	49.525	439
49.550	448	49.576	437
49.600	447	49.626	435
49.652	447	49.677	439
49.702	447	49.727	445
49.753	448	49.778	450
49.803	447	49.829	458
49.854	447	49.880	468
49.904	447	49.930	477
49.956	447	49.981	487
50.006	448	50.031	497
50.057	448	50.083	506
50.107	448	50.133	512
50.158	448	50.184	518
50.209	448	50.234	521
50.260	448	50.285	525
50.310	448	50.336	523
50.361	448	50.387	522
50.411	448	50.437	516
50.463	447	50.488	510
50.513	448	50.538	502
50.564	449	50.589	494
50.614	449	50.640	484
50.665	449	50.691	474
50.715	448	50.741	464
50.767	449	50.792	457
50.817	449	50.842	450
50.868	448	50.894	442
50.918	448	50.944	441
50.969	448	50.995	439
51.020	448	51.045	440
51.071	448	51.096	442
51.121	448	51.147	446
51.172	448	51.198	453
51.222	448	51.248	461
51.274	447	51.299	470
51.324	448	51.349	479
51.375	447	51.401	488
51.425	448	51.451	497
51.476	447	51.502	504
51.526	447	51.552	512
51.578	448	51.603	518
51.628	448	51.653	520
51.679	448	51.705	523
51.729	448	51.755	522
51.780	448	51.806	519
51.831	449	51.856	516
51.882	448	51.907	508
51.932	449	51.958	500
51.983	448	52.009	491
52.033	448	52.059	483
52.085	449	52.110	474
52.135	448	52.160	465
52.186	449	52.212	457
52.236	448	52.262	450
52.287	447	52.313	444
52.337	447	52.363	441
52.389	447	52.414	440
52.439	447	52.464	441
52.490	447	52.516	444
52.540	447	52.566	449
52.591	447	52.617	455
52.642	448	52.667	463
52.693	447	52.718	471
52.743	448	52.769	480
52.794	448	52.820	489
52.844	449	52.870	498
52.896	449	52.921	505
52.946	449	52.971	512
52.997	449	53.023	517
53.047	448	53.073	520
53.098	447	53.124	520
53.148	448	53.174	520
53.200	448	53.225	516
53.250	448	53.275	511
53.301	448	53.327	505
53.351	448	53.377	498
53.402	448	53.428	490
53.453	447	53.478	481
53.504	447	53.529	472
53.554	448	53.580	463
53.605	448	53.631	456
53.655	448	53.681	451
53.707	448	53.732	446
53.757	448	53.782	444
53.808	447	53.834	442
53.858	448	53.884	445
53.909	447	53.935	447
53.959	448	53.985	452
54.011	448	54.036	458
54.062	448	54.086	464
54.112	448	54.138	473
54.163	448	54.188	482
54.213	447	54.239	490
54.265	448	54.289	498
