#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
917.005775	2.113223	0.132266
918.062414	2.113304	0.132532
919.119079	2.113214	0.132766
920.175628	2.113125	0.133028
921.232204	2.113163	0.133320
922.288791	2.113126	0.133574
923.345330	2.113133	0.133800
924.401924	2.113188	0.134024
925.458518	2.113120	0.134328
926.515044	2.113104	0.134600
927.571622	2.113209	0.134820
928.628253	2.113212	0.135070
929.684834	2.113065	0.135288
930.741318	2.113057	0.135608
931.797891	2.113139	0.135874
932.854457	2.113040	0.136074
933.910931	2.113073	0.136354
934.967530	2.113125	0.136616
936.024056	2.113066	0.136896
937.080596	2.113059	0.137120
938.137115	2.113009	0.137314
939.193605	2.113081	0.137622
940.250196	2.113101	0.137880
941.306706	2.113258	0.138060
942.363454	2.113466	0.138324
943.420172	2.113518	0.138560
944.476972	2.113208	0.138788
945.533380	2.112898	0.139112
946.589870	2.113007	0.139376
947.646387	2.113248	0.139602
948.703118	2.113243	0.139880
949.759630	2.112946	0.140176
950.816064	2.113472	0.140464
951.873102	2.113499	0.140904
952.929563	2.112943	0.141218
953.986045	2.113056	0.141354
955.042619	2.113053	0.141554
956.099098	2.113192	0.141860
957.155811	2.113172	0.142146
958.212270	2.113029	0.142304
