#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
371.265	24.44	371.514	23.26
371.765	24.55	372.015	23.16
372.266	24.44	372.516	23.16
372.767	24.44	373.017	23.16
373.268	24.44	373.517	23.05
373.767	24.44	374.018	23.05
374.268	24.44	374.519	22.95
374.769	24.44	375.020	22.95
375.269	24.44	375.520	22.95
375.770	24.44	376.021	22.95
376.271	24.14	376.522	22.95
376.772	24.44	377.023	22.85
377.272	24.34	377.523	22.85
377.773	24.44	378.024	22.85
378.274	24.44	378.525	22.85
378.775	24.44	379.025	22.74
379.275	24.34	379.525	22.74
379.776	24.44	380.026	22.64
380.277	24.44	380.527	22.74
380.778	24.55	381.027	22.74
381.278	24.55	381.528	22.64
381.779	24.44	382.029	22.64
382.280	24.55	382.530	22.64
382.780	24.44	383.030	22.64
383.281	24.44	383.531	22.54
383.782	24.44	384.032	22.54
384.283	24.44	384.533	22.54
384.783	24.34	385.033	22.54
385.284	24.44	385.534	22.54
385.784	24.44	386.035	22.43
386.285	24.44	386.536	22.43
386.785	24.44	387.036	22.43
387.286	24.55	387.537	22.33
387.787	24.44	388.038	22.43
388.288	24.55	388.538	22.33
388.788	24.44	389.039	22.33
389.289	24.44	389.540	22.64
389.790	24.44	390.041	22.33
390.291	24.44	390.541	22.33
390.791	24.44	391.042	22.23
391.292	24.44	391.543	22.23
391.793	24.44	392.043	22.23
392.293	24.44	392.543	22.23
392.794	24.44	393.044	22.23
393.295	24.44	393.545	22.13
393.796	24.44	394.046	22.23
394.296	24.44	394.546	22.13
394.797	24.44	395.047	22.13
395.298	24.55	395.548	22.13
395.799	24.44	396.048	22.13
396.299	24.44	396.549	22.13
396.800	24.44	397.050	22.13
397.301	24.44	397.551	22.13
397.802	24.34	398.051	22.13
398.301	24.44	398.552	22.13
398.802	24.34	399.053	22.13
399.303	24.24	399.554	22.23
399.803	24.24	400.054	22.23
400.304	24.24	400.555	22.13
400.805	24.14	401.056	22.13
401.306	24.14	401.557	22.13
401.806	24.14	402.057	22.02
402.307	24.14	402.558	22.02
402.808	24.14	403.059	21.92
403.309	24.04	403.560	21.92
403.809	24.04	404.060	21.82
404.310	24.04	404.560	21.82
404.811	24.14	405.061	21.92
405.312	24.04	405.561	21.71
405.812	24.04	406.062	21.71
406.313	24.04	406.563	21.61
406.814	24.04	407.064	21.61
407.315	24.04	407.564	21.61
407.815	24.04	408.065	21.61
408.316	24.04	408.566	21.61
408.817	23.94	409.067	21.51
409.317	23.94	409.567	21.51
409.818	24.04	410.068	21.51
410.318	24.04	410.569	21.51
410.819	24.04	411.070	21.41
411.319	24.04	411.570	21.41
411.820	24.04	412.071	21.41
412.321	24.04	412.572	21.41
412.822	24.04	413.072	21.30
413.322	24.04	413.573	21.30
413.823	24.04	414.074	21.30
414.324	24.04	414.575	21.30
414.825	24.04	415.075	21.30
415.325	24.04	415.576	21.20
415.826	24.04	416.077	21.30
416.327	24.04	416.577	21.20
416.827	23.94	417.077	21.20
417.328	23.94	417.578	21.20
417.829	24.04	418.079	21.20
418.330	23.94	418.580	21.10
418.830	24.24	419.080	21.10
